  12.0   9.9060000000000002e+01   6.6240000000000000e+08   5.3260000000000000e+11   8.7250000000000000e+08   2.2400000000000000e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.2   9.9653109397421261e+01   6.7149298150982785e+08   5.3770021002355573e+11   9.4332650027294970e+08   1.5317349972705057e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.5   1.0057556697888839e+02   6.7764421055029583e+08   5.4272718434671375e+11   9.4252548178215158e+08   1.5397451821784875e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  12.8   1.0145768219592561e+02   6.8356133528680360e+08   5.4770418262809088e+11   9.4171475587782383e+08   1.5478524412217668e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.0   1.0226040757357626e+02   6.8902694253423643e+08   5.5262660807529297e+11   9.4086483909742761e+08   1.5563516090257290e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.2   1.0292774473757784e+02   6.9372865764119434e+08   5.5748545022779468e+11   9.3993401980990791e+08   1.5656598019009250e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.5   1.0338642633761634e+02   6.9725680769068933e+08   5.6226592078510303e+11   9.3886808600184774e+08   1.5763191399815255e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  13.8   1.0354625952022199e+02   6.9910540187574804e+08   5.6694624760329736e+11   9.3759975066979086e+08   1.5890024933020943e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.0   1.0330150157732957e+02   6.9867829935885775e+08   5.7149673477024976e+11   9.3604765519259906e+08   1.6045234480740118e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.2   1.0253370818228467e+02   6.9530280496614516e+08   5.7587923947509839e+11   9.3411475792933369e+08   1.6238524207066649e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.5   1.0111652271857234e+02   6.8825310614019573e+08   5.8004725606814734e+11   9.3168585440086293e+08   1.6481414559913737e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  14.8   9.8922829120923524e+01   6.7678578039747441e+08   5.8394682357676416e+11   9.2862389924492455e+08   1.6787610075507590e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.0   9.5834532442462489e+01   6.6018887379037380e+08   5.8751847129480603e+11   9.2476469487165463e+08   1.7173530512834579e+08   8.1200000000000000e+16   1.6970000000000000e+16 
  15.2   9.1754925417709956e+01   6.3784459937668896e+08   5.9070037063429736e+11   9.1990936092966247e+08   1.7659063907033783e+08   8.1200000000000000e+16   1.6970000000000000e+16 
